,ProductId,Score,Summary,Text
52,B0026RQTGE,5,OUR DOGS LOVE THEM,"Our Chussel's Love these toothbrush treats. When I ask them if they want to brush their teeth, they jump a mile high to get them. It dosent help their breath to to much, but I know its keeping their teeth clean. Also these are a little on the expensive side almost everywhere, Amazon has the best price. Thanks Amazon."
53,B0026RQTGE,5,Excellent product!,"I have two 6 month old dobemans who asked me to rate Greenies 6 out of five. It is yet to be seen how it will improve their dental health, but as far as their excitement about this particular treat - it is the best, no doubt."
54,B0026RQTGE,5,Love It!!,"Great product, it was exactly what I wanted.  I ordered the medium size because my shi tzu LOVES greenies so much! Good deal for the price considered how expensive they are at petco!!"
55,B0026RQTGE,5,great product,"Had been buying greenies at the pet store for the past 7 years, best price on sale was $32.99. These are a great value."
56,B0026RQTGE,5,Greenies Senior,"Great service, great product, our dogs LOVE them!  Great for their teeth, and it keeps them from eating grass if they have one first thing in the morning!"
57,B0026RQTGE,5,Oliver's must have greenies,My little Oliver loves his greenies.......He gets 1 everymorning thanks to such a good buy we are sure to have them every day.........
58,B0026RQTGE,5,What my dogs have to say . . .,"Anytime I shout out ""Mr. Greenie! Four dogs come running, ages 12 to 2. My dogs love them and they do seem to help with breath and tarter. Amazon has the absolute best prices."
59,B0026RQTGE,5,Wonderful service and product,This is a wonderful product that my dog really loves.  there is only one thing to make this product better - 30 chews in the box so we would have one for every day of the month.
60,B0026RQTGE,5,Simply The Best,Greenies are my pups number one favorite treat.  He loves them and they help keep his teeth clean. I reccomend these to anyone who wants to spoil their pet.
61,B0026RQTGE,5,My dog loves Greenies,"These are a great size for an evening snack.  My dog loves them and ""insists"" on having one or two every night."
62,B0026RQTGE,5,Greenies,We are very pleased with our purchase of Greenies.  The price was grteat (compared with the pet stores) and the service was excellent.  Our dog is even more pleased than we are - he loves them.
63,B0026RQTGE,5,"An 'attention getter' for our ""hotdog""","Our mini Dachshund loves these. Limited to 1 a day. One of the few ""treats"" that he has not tired of. Also, his breath has been noticeably fresher since he has been having these. So far, best price on Amazon. The local pet food chains' sale prices has not yet come close to the regular price of these 96 count 'Teenie' packs. Can't vouch on the benefit of nutritional value of these, but the vet says our mini is in great shape ...right where he is suppose to be."
64,B0026RQTGE,5,My dogs like it,Not only my logs like these snacks... ME TOO because their mouth isn't stinky anymore! ;) I will keep on buying it because of that reason. DOG LOVERS: you will like this product.
65,B0026RQTGE,4,Last bag had 1 big greenie ball,"I've been using this product for almost 2 years and my dogs seem to like it.  However, last box/bag had all 96 greenies stuck together in a huge ball.  Maybe it was the heat or maybe something happened during packaging.  Either case, I have to pull off 1 at a time when it comes to snack time."
66,B0026RQTGE,5,PICCOLO LOVES THESE,"My little Papillon, Piccolo absolutely LOVES these. I no longer have to try to brush his teeth every evening and he smells delicious when I kiss him good night. I'LL BE GETTING THESE FROM YOU FOR AS LOG AS WE BOTH MAY LIVE!<br /><br />THANK YOU, AMAZON!!!!!"
67,B0026RQTGE,5,My dogs love them! And good for them!,They're a great product and automated delivery at great prices can't be beat!  My dogs go crazy when it comes to greenie time at night.  No matter how many nights we do the same thing they are always over the top for greenies
68,B0026RQTGE,5,My boys love greenies!!!,I have 2 small dogs and one really small dog.  They all get one Greenie a day.  They LOVE their greenies!1 I love that the Greenies help to keep their mouths fresh and clean. They are adorable and are shaped like a mini toothbrush!!!
69,B0026RQTGE,5,Reorder of Greenies,Greenies are given to both of my Westies and they expect one a day when they complete their morning routine.  Best treat ever.
70,B0026RQTGE,5,love my litttle dogs,My little ones love their teenie greenies. It is so easy to order them from Amazon. Greenies are recomendid by my vet to help keep my dachshunds teeth clean and healthy.
71,B0026RQTGE,5,My dogs love them!,Did some research because my dogs have bad breath and dirty teeth. I have tried brushing their teeth with doggie toothpaste and have bought all kinds of chewy treats but nothing worked. So I bought these and gave each dog a treat every morning.  Not only does their breath smell better but their teeth look cleaner as well. I quickly bought a second box. The dogs seem to enjoy the taste and they are made so that the dog can't just gulp them down.  They have to chew them.  I would highly recommend these treats.
72,B0026RQTGE,5,Dog Loves!,My dog loves these treats and they are lite too.  I have been buying them for the last 5 years
73,B0026RQTGE,3,Good for breath,"These bones are great for a dog's breath. However, I was looking for something that would take him more than a minute to chew. Still a good treat for doggy breath."
74,B0026RQTGE,5,Why do they increase the price each month on the product?,I have subsribed to the monthly shipment of Greenies 27 oz canister teenie 96 count product and each month the price increases.  If i sign up today the price drops to $19.94.  Why the increase?  Seems like they lock you in for a scheduled order and then take advantage of you hoping that you won't notice the price increases.<br /><br />The product is great and my dogs love them but the business practice of the price hikes is terrible.
75,B0026RQTGE,5,My Puppy Loves These,"Einstein our puppy loves the Greenies.  He get's one at night before bed as a bribe for going into his kennel.  Works wonders:)  Since, he gets one every night we go through the Greenies fairly quickly.  I like the larger size and was actually cheaper per piece.<a href=""http://www.amazon.com/gp/product/B001G96UK8"">Greenies 27 oz Canister Teenie 96 Count</a>"
76,B0026RQTGE,4,A noticeable difference in dental health,"I've only given Greenies four stars because they're pretty costly at one Greenie per day (and we have two dogs).  That said, we stopped giving our dogs Greenies for a period of time and there was a significant amount of brown-colored build up around the base of our dogs' teeth.  We started giving them Greenies again and within a short period of time the build-up was gone in most areas and, overall, greatly reduced.  I realize that we could brush our dogs teeth in order to avoid the cost, but neither of us wants to take on this chore; plus, the dogs LOVE Greenies.<br /><br />I used to buy this product at Petsmart, but they're much less expensive on Amazon."
77,B0026RQTGE,5,My vet suggested this.,My two dogs love these.  Now as to do they work.  I honestly do not know.  Both of my dogs are right now at what my vet calls stage two on dental health.  Stage four is the worst on his scale.  I am going to monitor and see IF just maybe they will either still be a stage two in a year or maybe better.  If they maintain at stage two I would love it.  Teeth cleaning on dogs is very expensive so if this product works it will save me big bucks.  Here's hoping!  I will come back and update this after their next check up which should be around August of 2013.
78,B0026RQTGE,5,Very pleased,"Nothing negative to say about this buying experience.  My dog loves Greenies, and this was a better price than what I have seen elsewhere.  Treats like this, along with regular dental care (brushing her teeth and getting her teeth professionally cleaned by a vet) means that my dog's breath is nice and she is healthier.  My dog is 7kgs (around 15 lbs)and this is a perfect size for her.  The packaging keeps these treats fresh - inside the box is an airtight resealable bag."
79,B0026RQTGE,5,Greenies,My dog looks forward everyday to getting his Greenies.  It is a great toothbrush and keeps him from having too much tarter on his teeth.
80,B0026RQTGE,5,Dogs love em!,"I am always concerned with my dogs oral health. I have found that my dogs love the Greenies and they do a good job of helping to keep the tarter build up off their teeth! I have one dog that is very particular about his treats and what he will chew on but he loves the Greenies, in fact my dogs will do most anything I ask so long as they know they get a Greenie afterwards!"
81,B0026RQTGE,5,Instead of brushing~,Always had trouble trying to brush my dog's teeth; thought I would try the Greenies Petite (16 lb cockapoo). They are plenty big enough. She has one everyday loves them and her teeth are looking very healthy; no tartar build up. Definitely recommend them.
82,B0026RQTGE,5,Highly recomended,"My dog love it, and She's a very, very picky eater- even with treats. So, this product must have a great flavor."
83,B0026RQTGE,5,My dogs love Greenies,"Both of my small breed dogs love their greenies treat and I like that it is good for their dental health,,"
84,B0026RQTGE,4,catnip for dogs?,"my german shepherd goes crazy for these things. i have no idea why he likes them so much. his breath is always pretty good, so i guess these work well. good deal for the scheduled delivery option."
85,B0026RQTGE,4,freshens breath,"I have a (now) 6 month old miniature daschund puppy. I bought these for her about two months ago when I started to be a little bothered by her breath (she's a kisser). I bought them from amazon because they were so much cheaper then at the local pet store.<br />At first, she had no interest in them. I was a little annoyed, having bought a box of 96 that was still expensive for dog treats even with the discount. She either would ignore it no matter how many times I tried reintroducing it, or take a bite then leave it. It took a few weeks and several tries, but now she loves them and eats them as soon as I give it to her. I give her at most one a day but usually one every two or three days. It hasn't upset her stomach or anything like that. The package says they aren't suitable for dogs under 6 months of age, but I stared giving them to her at about 4 months and there were no problems. She has clean, healthy teeth, but I don't think she wouldn't if I stopped giving her these. They do work in freshening her breath, however. We have a 3 year old golden retriever in the house who eats these sometimes too and has loved them since the day they came- I guess it just depends on the dog. Even though they're not the correct size for him, he's never choked and I don't think it's a problem to buy the smaller size for a larger dog. I'd definitely recommend these if you want your dog's breath freshened!"
86,B0026RQTGE,5,"Jumbo Dog, Jumbo Greenies","We have been feeding these to our do since he became an adult dog.  We feed him the Jumbo size Greenies. He's 125+ pounds and devours them in seconds.  We order them from Amazon, because we can rarely find the Jumbo size greenie canisters in stores.  Our dog's teeth seem to be in really good condition.  We have never had any problems with him eating them or with his digestion.  We always give him one when we are around to watch and he's never had any issues."
87,B0026RQTGE,5,Like going to the dentist,"I bought these for my 9 yr old dog because the vet said she had stage 4 dental disease, and we really couldn't afford the $300+ price of teeth cleaning for her. I decided to give her one Greenie everyday and see if it improved her teeth and gums. I have been giving her one a day for almost two months and her back teeth look so much better! I am very happy with this little experiment and she is too. She reminds me every night when it's time for her Greenie treat. She still has a slight issue with one of her front teeth, but I think it's because she mainly chews the Greenies on her back teeth. Such a great item. Much cheaper on Amazon than at the pet store."
88,B0026RQTGE,5,Good for older dogs as well for younger,"I have a 10yr. old boxer and she has worn much of her teeth down some what.  She loves these and they help her breath and clean her teeth.  If she likes them, then MoM likes them."
89,B0026RQTGE,5,suscribe to GreeniesMy,"My Boston Terrier gets one Greenie regular each day to keep teeth clean. Should I forget it's time for her Greenie, she sits and stares at me until I remember. Vet says her teeth are in great shape."
90,B0026RQTGE,5,Patches loves these!,Patches loves these and will put up with teeth brushing since he knows he'll get a Greenie at the end of it.
91,B0026RQTGE,5,Great Green Snack,"My dog loves them, and so does our vet?  Our Yorkie likes to eat unhealthy things, but shys away from healthy ones.  The lone exception are Greenies."
92,B0026RQTGE,5,greenies-teenie 96 pack,"My dog loves these snacks.  I have a smaller rat terrier mix dog she loves these even more than Cherrio's.  They come in a canister which is flimsy but I threw it away as they are also in a resealable bag. They should last a fairly long time as I don't give them to her daily, only for special treats and after she takes any medicines."
93,B0026RQTGE,5,Teeny greenies,"I have been buying 96-count containers of teeny greenies from Amazon for a couple of years.  They are always fresh and arrive promptly. My Yorkies look forward to one before bedtime each evening.  I don't know if they really help plaque.  They do freshen breath and have some nutrition.  Thanks to Amazon prices, my dogs have this little luxury."
94,B0026RQTGE,5,For Great Doggie Breath,"We have two shelties and their breath improved almost immediately with this product.  One of our dogs has a problem digesting another brand, but neither dog had a problem with the Greenies.  Highly Recommend."
95,B0026RQTGE,5,My dog will kill for a Greenie!,"Ever since I introduced my dog to Greenies, she just loved them. They are her favorite treats, and they are good for her too! She weighs about 15 pounds and I give her one each morning after her walk. I purchase the 27 oz canister, Teenie size (96 count)."
96,B0026RQTGE,5,Dogs love Greenies,This is a great treat for my dogs. I've been buying them for 12 years and they never turn it down.
97,B0026RQTGE,5,My Dogs Love These,"These are given to my 2 rescue dogs at the end of the day.  They know when it is time to go out for the last time at night and sit and wait for their Greenie.  All we have to say is ""do you want to brush your teeth"" and they go nuts.  They love them and their teeth are in great shape..."
98,B0026RQTGE,5,Love them,My dog loves these. I also bought them way cheaper than the pet store. Next time it's offered for the price I paid I will buy a few boxes again
99,B0026RQTGE,4,not bad,So far so good. My dog seems to love this things. They do stink when you open the box so beware. I don't know how well they preventing the plaque from building up on his teeth only time will tell. 4stars based on potential good it will do for my dog and the fact that he loves them. You do get alot to last you for 96 days b/c it only says to give one a day so I think that will be adequate time to fully evaluate. I'll update when that time comes but for now it's worth giving it a shot.
100,B0026RQTGE,5,Our Dogs LOVE These and We Do Too!,"I have been feeding our dogs Greenie bones since they first came out and we have NEVER had a problem.  I have German Shepards, Dobermans and medium sized hound dogs.  They all love their GB's and I find that because our Dobie tends to be a ""garbage belly"" (meaning she'll eat anything!), so sometimes she doesn't smell as nice as she should, really benefits from the ""green"" in Greenie Bones.  I would like to know where ""E. Antic"" gets his/her information from.....as I can find nothing that says they are ""deadly"", except for those people that haven't done responsible research (not just hearsay from some list).  If your dogs are gulpers or greedy chewers, then I wouldn't feed them ANYTHING, especially RAWHIDE, that could be gulped and swallowed in large pieces or whole.  Do we need to bring up ""NYLABONES""?????  Always be a responsible dog owner and supervise your dogs when giving any kind of treats.  Please don't be afraid of Greenie Bones because of E. Antic's post.  You can buy Greenie's in singles, so try one before you commit to a whole box.  I have friends that have dogs that don't really like them and that's okay.  My girls live for their morning GB's and I now give them Greenie ""Smart Biscuits"" for an afternoon snack.  They love the taste and we love them for the 'benefits'!!<br /><br />I respectfully request that Amazon and Amazon members make up their own minds, and not fall to the 'fear mongers' and ignorance amoung us.  Always supervise your dogs when giving treats - after all, they are the animals and we are supposed to be the 'smart' ones.....don't be afraid, do your homework, it always pays!"
101,B0026RQTGE,5,my lil' beast is crazy for greenies!!,"i still worry about the rumored threat to dogs from these treats, but they have changed the formula so i am assuming all is well with them.  and i am assuming since they are front and center in most pet places that they are safe.  and my italian greyhound is obsessed with them.  they make her (usually hideous) breath smell fresh and clean and have really made a difference in the cleanliness of her teeth.  i always make sure to watch her while she's eating it, not only for her safety, but because it is freaking adorable to watch her chew on it.  just a tip, these are cheaper from entirelypets from amazon.  http://www.amazon.com/Greenies-Dental-Chews-ounce-Teenie/dp/B001CWEC2W/ref=sr_1_1?ie=UTF8&s=home-garden&qid=1266273814&sr=8-1"
